_	0
e	1
n	2
s	3
i	4
r	5
t	6
a	7
h	8
d	9
u	10
l	11
c	12
m	13
g	14
o	15
>	16
<	17
b	18
f	19
w	20
.	21
k	22
,	23
/	24
z	25
v	26
p	27
S	28
ü	29
ä	30
D	31
A	32
B	33
M	34
E	35
G	36
-	37
W	38
F	39
K	40
ö	41
P	42
H	43
T	44
I	45
ß	46
L	47
R	48
V	49
N	50
j	51
U	52
Z	53
:	54
y	55
J	56
„	57
C	58
”	59
O	60
)	61
(	62
?	63
!	64
x	65
'	66
0	67
;	68
»	69
«	70
Ü	71
q	72
Q	73
2	74
1	75
Ä	76
Ö	77
Y	78
X	79
@	80
*	81
%	82
3	83
é	84
^	85
&	86
4	87
5	88
+	89
6	90
#	91
7	92
8	93
9	94
€	95
=	96
|	97
§	98
[	99
]	100
\	101
~	102
$	103
}	104
{	105
