A.	a.
ryss.	ryss.
sakobj.	sakobj.
saksubj.	saksubj.
sälls.	sälls.
sam.	sam.
sannol.	sannol.
sanskr.	sanskr.
sard.	sard.
särsk. förb.	särsk. förb.
särsk.	särsk.
s.å.	s.å.
s.a.s.	s.a.s.
sbst.	sbst.
sek.	sek.
semit.	semit.
sengr.	sengr.
senlat.	senlat.
serb.	serb.
sg.	sg.
shetl.	shetl.
shet.	shet.
sid.	sid.
sign.	sign.
Själl.	själl.
skämts.	skämts.
Skottl.	skottl.
skriftspr.	skriftspr.
skr.	skr.
s. k.	s. k.
s.k.	s.k.
sk.	sk.
slav.	slav.
slöjd.	slöjd.
slovak.	slovak.
sloven.	sloven.
slov.	slov.
slutart.	slutart.
Smål.	smål.
Södermanl.	södermanl.
sorb.	sorb.
span.	span.
specialanv.	specialanv.
spec.	spec.
spr.	spr.
sp.	sp.
s.	s.
ssp.	ssp.
ss.	ss.
s.st.	s.st.
St.	st.
stud.	stud.
subj.	subj.
superl.	superl.
sup.	sup.
Sveal.	sveal.
sv.	sv.
Sv.	sv.
sydamerik.	sydamerik.
syr.	syr.
tam.	tam.
temp.	temp.
t. ex.	t. ex.
t.ex.	t.ex.
t.h.	t.h.
tillf.	tillf.
tim.	tim.
tjeck.	tjeck.
tochar.	tochar.
tokhar.	tokhar.
t.o.m.	t.o.m.
trol.	trol.
tr.	tr.
t.	t.
turk.	turk.
turk	turk
t.v.	t.v.
Tyskl.	tyskl.
ukr.	ukr.
ung.	ung.
uppl.	uppl.
Uppl.	uppl.
urgerm.	urgerm.
urn.	urn.
urspr.	urspr.
utg.	utg.
uttr.	uttr.
vall.	vall.
vanl.	vanl.
vard.	vard.
Värml.	värml.
var.	var.
Västerb.	västerb.
Västergötl.	västergötl.
Västmanl.	västmanl.
vbaladj.	vbaladj.
vbalsbst.	vbalsbst.
v. dep.	v. dep.
vulgärlat.	vulgärlat.
v.	v.
wal.	wal.
wogul.	wogul.
y.	y.
zig.	zig.
